Neighborhood,Area,Population,Population Density,Median Household income,Median rent
Bayview Hunters Point,6.318,59086,6074.17,65899.67,1304.67
Bernal Heights,2.124,50206,21591.25,166481.00,1982.25
Castro/Upper Market,1.108,27257,20796.5,195026.50,2597.25
Chinatown,0.168,7860,46772,64563.00,806.00
Excelsior,1.073,28906,26935,109071.00,1949.00
Financial District/South Beach,1.686,14286,6803.8333,109091.83,1609.17
Glen Park,0.732,8204,10870.5,176225.00,2649.00
Haight Ashbury,0.882,27000,27600.5,190026.75,2438.50
Hayes Valley,0.559,19349,35157,188158.75,2097.25
Inner Richmond,0.801,23105,26614,125827.50,2358.00
Inner Sunset,3.414,67239,16557.4,170714.80,2712.40
Japantown,0.036,996,27884,124565.00,1675.00
Lakeshore,3.015,12881,10283.333,116826.00,2417.67
Lincoln Park,,,,,
Lone Mountain/USF,1.998,46336,23019,124181.33,1738.33
Marina,0.9,11807,9627,238544.00,3573.00
McLaren Park,0.152,5140,33799,74537.00,1088.00
Mission,2.491,55120,25724.2,141386.00,2276.80
Mission Bay,1.322,10451,8993.5,171246.00,2893.00
Nob Hill,0.568,27914,47285,100657.50,1840.00
Noe Valley,0.966,24449,35477.5,86657.99,2221.00
North Beach,1.29,34324,27664.6,136999.40,1358.40
Oceanview/Merced/Ingleside,2.372,31611,13380.85714,121094.57,2406.86
Outer Mission,0.84,21944,23915.66667,108240.67,1552.67
Outer Richmond,4.409,123980,29074.6,128189.60,1991.40
Pacific Heights,1.119,22146,41598,149440.00,2431.00
Portola,0.771,14476,18780,111718.00,2376.00
Potrero Hill,2.316,23091,10107.66667,194677.67,2846.00
Presidio,2.593,5722,10275.5,200851.50,2948.50
Presidio Heights,0.472,11474,19148,114921.33,1653.67
Russian Hill,0.397,17443,43909,169594.00,1787.00
Seacliff,0.143,788,5511,191582.00,1481.00
South of Market,0.973,12469,15447.5,109639.00,2129.50
Sunset/Parkside,12.186,206388,15625.25,108974.25,2404.75
Tenderloin,2.265,54381,25394.33333,123535.67,1885.00
Treasure Island,0.657,,,,
Twin Peaks,4.891,51661,11383.8,184799.60,2673.80
Visitacion Valley,1.258,31294,25386,84483.00,1606.00
West of Twin Peaks,2.844,34963,11902.66667,173028.50,2958.50
Western Addition,0.983,26076,26246,125912.00,1918.00